column,dtype,non_null_n,non_null_fraction,description,example_value
FGL_COMMON_SRC_NAME,object,5865,1.0,,b'2MASS J00013275-4155252'
FGL_FLUX_B,float64,1293,0.22046,,3.1267710642879365e-10
FGL_FLUX_B_ERR,float64,1293,0.22046,,3.161919337468788e-11
FGL_FLUX_A,float64,1293,0.22046,,3.2608037364018072e-12
FGL_FLUX_A_ERR,float64,1293,0.22046,,4.266820187101561e-13
FGL_SPEC_TYPE,object,5865,1.0,,b'LogParabola'
FGL_PL_FLUXDEN,float64,1293,0.22046,,3.982322352197484e-14
FGL_PL_FLUXDEN_ERR,float64,1293,0.22046,,3.9063986386736384e-15
FGL_PL_INDEX,float64,1293,0.22046,,1.7810847759246826
FGL_PL_INDEX_ERR,float64,1292,0.22029,,0.063961885869503
FGL_LP_FLUXDEN,float64,1293,0.22046,,4.578294056259252e-14
FGL_LP_FLUXDEN_ERR,float64,1293,0.22046,,5.211077558098807e-15
FGL_LP_INDEX,float64,1293,0.22046,,1.5809705257415771
FGL_LP_INDEX_ERR,float64,1293,0.22046,,0.1248076036572456
FGL_LP_BETA,float64,1293,0.22046,,0.1209013909101486
FGL_LP_BETA_ERR,float64,1293,0.22046,,0.0566505268216133
FGL_LP_EPEAK,float64,1117,0.190452,,15441.65234375
FGL_LP_EPEAK_ERR,float64,1117,0.190452,,8987.7646484375
FGL_LP_SIGCURV,float64,1293,0.22046,,2.630328893661499
FGL_PLEC_FLUXDEN,float64,1293,0.22046,,4.321717612140556e-14
FGL_PLEC_FLUXDEN_ERR,float64,1293,0.22046,,4.76007782994857e-15
FGL_PLEC_INDEX,float64,1293,0.22046,,1.5865743160247805
FGL_PLEC_INDEX_ERR,float64,1293,0.22046,,0.1193713024258613
FGL_PLEC_EXPFACTOR,float64,1293,0.22046,,0.0982057452201843
FGL_PLEC_EXPFACTOR_ERR,float64,1293,0.22046,,0.0604930445551872
FGL_PLEC_EXPINDEX,float64,1293,0.22046,,0.6666666865348816
FGL_PLEC_EXPINDEX_ERR,float64,2,0.000341,,0.058275893330574
FGL_PLEC_EPEAK,float64,743,0.126684,,20271.28515625
FGL_PLEC_EPEAK_ERR,float64,743,0.126684,,10459.35546875
FGL_PLEC_SIGCURV,float64,1293,0.22046,,2.3296473026275635
LAC_SED_CLASS,object,5616,0.957545,,b'HSP'
LAC_HE_EPEAK,float64,1077,0.183632,,33178.4375
LAC_HE_EPEAK_ERR,float64,1077,0.183632,,44274.35546875
LAC_HE_NUFNU,float64,1246,0.212447,,4.817691205971641e-07
LAC_HE_NUFNU_ERR,float64,1246,0.212447,,1.0588072285599993e-07
LAC_LE_FREQ,float64,1246,0.212447,,7328245535997952.0
LAC_LE_NUFNU,float64,1246,0.212447,,1.902948285059658e-12
RFC_SRC_NAME,object,5865,1.0,,b'RFC_J0001-4155'
RFC_SBAND_RES,float64,2620,0.446718,,0.009
RFC_SUPPER_RES,object,4819,0.821654,,b'-'
RFC_SBAND_UNRES,float64,2620,0.446718,,1.0
RFC_SUPPER_UNRES,object,4867,0.829838,,b'-'
RFC_CBAND_RES,float64,2620,0.446718,,1.0
